user_id,amount,source,frequency,date
1,4509.89,Salary,MONTHLY,2024-08-01
1,4509.89,Salary,MONTHLY,2024-09-01
1,4509.89,Salary,MONTHLY,2024-10-25
1,4509.89,Salary,MONTHLY,2024-11-01
1,4509.89,Salary,MONTHLY,2024-12-25
1,4509.89,Salary,MONTHLY,2025-01-01
2,3893.78,Salary,MONTHLY,2024-08-28
2,3893.78,Salary,MONTHLY,2024-09-25
2,3893.78,Salary,MONTHLY,2024-10-28
2,3893.78,Salary,MONTHLY,2024-11-28
2,3893.78,Salary,MONTHLY,2024-12-01
2,3893.78,Salary,MONTHLY,2025-01-28
3,3528.7,Salary,MONTHLY,2024-08-28
3,3528.7,Salary,MONTHLY,2024-09-25
3,3528.7,Salary,MONTHLY,2024-10-25
3,3528.7,Salary,MONTHLY,2024-11-25
3,3528.7,Salary,MONTHLY,2024-12-28
3,3528.7,Salary,MONTHLY,2025-01-28
4,887.56,Salary,MONTHLY,2024-08-25
4,887.56,Salary,MONTHLY,2024-09-25
4,887.56,Salary,MONTHLY,2024-10-28
4,887.56,Salary,MONTHLY,2024-11-28
4,887.56,Salary,MONTHLY,2024-12-28
4,887.56,Salary,MONTHLY,2025-01-01
5,7719.86,Salary,MONTHLY,2024-08-28
5,7719.86,Salary,MONTHLY,2024-09-25
5,7719.86,Salary,MONTHLY,2024-10-25
5,7719.86,Salary,MONTHLY,2024-11-01
5,7719.86,Salary,MONTHLY,2024-12-01
5,7719.86,Salary,MONTHLY,2025-01-01
6,3945.58,Salary,MONTHLY,2024-08-25
6,3945.58,Salary,MONTHLY,2024-09-01
6,3945.58,Salary,MONTHLY,2024-10-28
6,3945.58,Salary,MONTHLY,2024-11-01
6,3945.58,Salary,MONTHLY,2024-12-25
6,3945.58,Salary,MONTHLY,2025-01-28
7,6319.96,Salary,MONTHLY,2024-08-25
7,6319.96,Salary,MONTHLY,2024-09-01
7,6319.96,Salary,MONTHLY,2024-10-01
7,6319.96,Salary,MONTHLY,2024-11-28
7,6319.96,Salary,MONTHLY,2024-12-01
7,6319.96,Salary,MONTHLY,2025-01-25
8,1880.8,Salary,MONTHLY,2024-08-28
8,1880.8,Salary,MONTHLY,2024-09-25
8,1880.8,Salary,MONTHLY,2024-10-25
8,1880.8,Salary,MONTHLY,2024-11-25
8,1880.8,Salary,MONTHLY,2024-12-01
8,1880.8,Salary,MONTHLY,2025-01-25
9,3919.27,Salary,MONTHLY,2024-08-28
9,3919.27,Salary,MONTHLY,2024-09-01
9,3919.27,Salary,MONTHLY,2024-10-01
9,3919.27,Salary,MONTHLY,2024-11-28
9,3919.27,Salary,MONTHLY,2024-12-25
9,3919.27,Salary,MONTHLY,2025-01-01
10,6849.13,Salary,MONTHLY,2024-08-25
10,6849.13,Salary,MONTHLY,2024-09-25
10,6849.13,Salary,MONTHLY,2024-10-01
10,6849.13,Salary,MONTHLY,2024-11-01
10,6849.13,Salary,MONTHLY,2024-12-25
10,6849.13,Salary,MONTHLY,2025-01-25
11,5625.4,Salary,MONTHLY,2024-08-01
11,5625.4,Salary,MONTHLY,2024-09-28
11,5625.4,Salary,MONTHLY,2024-10-25
11,5625.4,Salary,MONTHLY,2024-11-28
11,5625.4,Salary,MONTHLY,2024-12-28
11,5625.4,Salary,MONTHLY,2025-01-25
12,4520.75,Salary,MONTHLY,2024-08-01
12,4520.75,Salary,MONTHLY,2024-09-28
12,4520.75,Salary,MONTHLY,2024-10-25
12,4520.75,Salary,MONTHLY,2024-11-25
12,4520.75,Salary,MONTHLY,2024-12-25
12,4520.75,Salary,MONTHLY,2025-01-25
13,5253.28,Salary,MONTHLY,2024-08-25
13,5253.28,Salary,MONTHLY,2024-09-25
13,5253.28,Salary,MONTHLY,2024-10-28
13,5253.28,Salary,MONTHLY,2024-11-28
13,5253.28,Salary,MONTHLY,2024-12-28
13,5253.28,Salary,MONTHLY,2025-01-25
14,2353.94,Salary,MONTHLY,2024-08-01
