user_id,date,description,amount,category,mood,persona
1,2024-08-01,Day fact modern.,704.95,Education,Neutral,IMPULSIVE_SPENDER
1,2024-08-01,Table trade various risk art.,3156.41,Education,Excited,IMPULSIVE_SPENDER
1,2024-08-02,Among black picture that treat.,1252.26,Education,Happy,IMPULSIVE_SPENDER
1,2024-08-02,Within woman.,29627.01,Food,Stressed,IMPULSIVE_SPENDER
1,2024-08-02,Pattern ahead compare form full.,406.2,Other,Stressed,IMPULSIVE_SPENDER
1,2024-08-03,Maintain assume both long.,2347.1,Other,Sad,IMPULSIVE_SPENDER
1,2024-08-04,Section child.,424.9,Other,Neutral,IMPULSIVE_SPENDER
1,2024-08-05,Southern evening ask republican.,23148.1,Other,Neutral,IMPULSIVE_SPENDER
1,2024-08-06,Stop later reveal both.,1000.0,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-07,Pretty skin main program.,5048.35,Education,Stressed,IMPULSIVE_SPENDER
1,2024-08-08,Son rock two.,1247.01,Other,Happy,IMPULSIVE_SPENDER
1,2024-08-09,Edge building court.,228.09,Travel,Excited,IMPULSIVE_SPENDER
1,2024-08-10,Recent couple cost girl run.,2211.52,Leisure,Sad,IMPULSIVE_SPENDER
1,2024-08-11,Less into per big.,1990.84,Food,Stressed,IMPULSIVE_SPENDER
1,2024-08-11,Statement position either.,1527.57,Travel,Stressed,IMPULSIVE_SPENDER
1,2024-08-12,Indicate herself.,1669.4,Leisure,Happy,IMPULSIVE_SPENDER
1,2024-08-12,Half president structure might.,6353.08,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-12,Drive nation heart nearly season.,270.47,Travel,Neutral,IMPULSIVE_SPENDER
1,2024-08-13,Ever day.,2126.71,Leisure,Happy,IMPULSIVE_SPENDER
1,2024-08-14,Society dark product make.,24.57,Leisure,Happy,IMPULSIVE_SPENDER
1,2024-08-14,Within prove full.,1589.7,Education,Neutral,IMPULSIVE_SPENDER
1,2024-08-15,Rate society floor long same.,6466.34,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-15,You ready way rule.,3273.56,Food,Happy,IMPULSIVE_SPENDER
1,2024-08-18,Sign wall.,719.78,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-18,Country remember smile.,4341.58,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-18,Together knowledge.,2632.36,Leisure,Stressed,IMPULSIVE_SPENDER
1,2024-08-18,Able teach certain candidate economy.,86.87,Education,Stressed,IMPULSIVE_SPENDER
1,2024-08-19,Begin treat stage this.,4360.06,Other,Stressed,IMPULSIVE_SPENDER
1,2024-08-19,Together knowledge.,1992.46,Leisure,Excited,IMPULSIVE_SPENDER
1,2024-08-20,Eye something.,1690.16,Food,Stressed,IMPULSIVE_SPENDER
1,2024-08-21,Statement available win politics.,2874.91,Leisure,Neutral,IMPULSIVE_SPENDER
1,2024-08-21,Quality throughout.,2895.97,Other,Excited,IMPULSIVE_SPENDER
1,2024-08-24,Market specific property coach.,771.42,Leisure,Happy,IMPULSIVE_SPENDER
